Chromosome	MidPoint	GeneID	PFAMDomain	EValue	DupClass	Strand
1	4396647	8350.M00780	PF00400	1.5e-09	S	+
1	4533489	8350.M00805	PF00400	2.4e-06	S	+
1	4533489	8350.M00805	PF00400	1.5e-04	S	+
1	4680072	8350.M00829	PF00400	6.4e-07	D	+
1	4680072	8350.M00829	PF00400	1.7e-07	D	+
1	5537963	8350.M00950	PF05498	1.6e-32	D	-
1	5759094	8350.M00983	PF00400	7.9e-10	S	+
1	11785347	8350.M01929	PF03242	9.0e-18	S	-
1	24238202	8350.M03958	PF00515	4.3e-09	D	+
1	24238202	8350.M03958	PF00515	2.1e-04	D	+
1	24238202	8350.M03958	PF00515	4.2e-06	D	+
1	25852456	8350.M04204	PF00646	8.1e-06	S	+
1	26200289	8350.M04257	PF05678	6.8e-05	S	-
1	28116908	8350.M04547	PF00400	3.8e-06	D	+
1	28116908	8350.M04547	PF00400	1.6e-08	D	+
1	28116908	8350.M04547	PF00400	1.9e-10	D	+
1	28116908	8350.M04547	PF00400	7.7e-09	D	+
1	28116908	8350.M04547	PF00400	1.5e-10	D	+
1	30770282	8350.M05012	PF00588	1.2e-38	S	-
1	31075468	8350.M05062	PF01479	2.2e-07	S	+
1	31084639	8350.M05063	PF05678	2.4e-12	D	-
1	32226524	8350.M05257	PF04055	3.7e-26	D	+
1	32296089	8350.M05265	PF00646	1.1e-04	D	-
1	32625826	8350.M05313	PF00400	2.9e-10	S	-
1	33270727	8350.M05418	PF00646	1.4e-04	S	-
1	34265680	8350.M05585	PF00856	8.1e-49	D	+
1	36929431	8350.M06015	PF00646	2.9e-06	S	-
1	37271154	8350.M06082	PF00646	8.2e-07	D	+
1	37891659	8350.M06186	PF00856	7.3e-15	S	-
1	42780044	8350.M07003	PF00856	5.3e-04	S	+
2	3196876	8351.M00557	PF00646	3.0e-06	D	+
2	3328035	8351.M00580	PF00400	1.0e-08	D	-
2	3960501	8351.M00684	PF05678	1.5e-09	D	+
2	5766278	8351.M00964	PF00515	6.3e-06	S	-
2	5880854	8351.M00977	PF00400	6.8e-04	D	+
2	5880854	8351.M00977	PF00400	1.1e-09	D	+
2	5880854	8351.M00977	PF00400	3.4e-06	D	+
2	17713219	8351.M02840	PF00646	7.0e-04	D	-
2	18144098	8351.M02904	PF00849	3.9e-28	S	+
2	19783111	8351.M03138	PF00400	6.1e-10	D	-
2	19783111	8351.M03138	PF00400	4.2e-07	D	-
2	19783111	8351.M03138	PF00400	2.3e-09	D	-
2	21157152	8351.M03335	PF03242	4.1e-14	S	+
2	22056332	8351.M03475	PF00646	1.3e-06	S	+
2	22284966	8351.M03514	PF07172	1.2e-05	S	-
2	22301481	8351.M03518	PF07172	5.5e-06	S	-
2	22334739	8351.M03526	PF07172	4.6e-11	S	+
2	22363392	8351.M03532	PF07172	7.6e-05	S	+
2	22367872	8351.M03533	PF07172	1.1e-04	S	+
2	22375033	8351.M03535	PF07172	6.3e-04	S	+
2	25255518	8351.M03995	PF00400	1.6e-09	D	+
2	25255518	8351.M03995	PF00400	2.4e-06	D	+
2	25530353	8351.M04039	PF00515	1.1e-07	D	+
2	25530353	8351.M04039	PF00515	1.3e-07	D	+
2	25530353	8351.M04039	PF00515	3.8e-07	D	+
2	25530353	8351.M04039	PF00515	2.9e-05	D	+
2	25530353	8351.M04039	PF00515	3.1e-05	D	+
2	25530353	8351.M04039	PF00515	8.3e-04	D	+
2	26510556	8351.M04191	PF00400	9.6e-10	D	-
2	27532666	8351.M04339	PF02953	1.4e-32	S	-
2	27747289	8351.M04373	PF00646	1.5e-07	S	+
2	28427474	8351.M04479	PF00400	6.3e-05	D	+
2	28427474	8351.M04479	PF00400	4.4e-07	D	+
2	28427474	8351.M04479	PF00400	2.8e-10	D	+
2	29652253	8351.M04680	PF00400	1.5e-05	D	-
2	30613056	8351.M04835	PF00400	2.2e-07	D	+
2	30613056	8351.M04835	PF00400	3.0e-05	D	+
2	30613056	8351.M04835	PF00400	8.9e-05	D	+
2	30613056	8351.M04835	PF00400	1.1e-05	D	+
2	30613056	8351.M04835	PF00400	3.7e-08	D	+
2	31322744	8351.M04942	PF05678	5.7e-10	S	+
2	31538751	8351.M04983	PF00646	6.9e-04	D	+
2	31679969	8351.M05008	PF00515	1.6e-06	D	+
2	33329810	8351.M05285	PF01585	1.3e-15	S	-
2	33522894	8351.M05318	PF00400	2.9e-08	S	-
3	656353	8360.M00109	PF00400	1.2e-06	S	+
3	656353	8360.M00109	PF00400	2.9e-04	S	+
3	923629	8360.M00154	PF00646	8.6e-05	D	+
3	1428124	8360.M00236	PF01585	2.7e-15	S	+
3	3648858	8360.M00610	PF00646	5.7e-07	D	+
3	4680430	8360.M00799	PF01040	3.8e-04	S	-
3	5016920	8360.M00844	PF00646	7.3e-04	S	-
3	8060250	8360.M01327	PF01585	2.6e-09	S	-
3	9943146	8360.M01633	PF00849	1.0e-31	S	+
3	10715686	8360.M01757	PF00533	1.0e-07	D	+
3	10715686	8360.M01757	PF00533	8.0e-04	D	+
3	10715686	8360.M01757	PF00533	1.1e-06	D	+
3	10733613	8360.M01758	PF00515	1.0e-05	D	-
3	10834465	8360.M01772	PF00400	3.2e-05	S	-
3	10834465	8360.M01772	PF00400	9.2e-04	S	-
3	10834465	8360.M01772	PF00400	1.8e-07	S	-
3	11457664	8360.M01872	PF05678	2.7e-10	S	+
3	11528623	8360.M01883	PF05678	1.8e-08	S	-
3	12651415	8360.M02055	PF00515	2.4e-06	S	+
3	14235308	8360.M02308	PF05754	1.3e-04	S	-
3	14884498	8360.M02422	PF02037	1.2e-09	D	-
3	15795049	8360.M02566	PF00646	3.9e-09	D	-
3	15873819	8360.M02580	PF03242	9.7e-07	S	-
3	17242204	8360.M02808	PF00646	1.2e-05	S	+
3	23072023	8360.M03828	PF00400	3.5e-07	D	+
3	23072023	8360.M03828	PF00400	1.5e-04	D	+
3	23072023	8360.M03828	PF00400	2.2e-04	D	+
3	23072023	8360.M03828	PF00400	6.4e-04	D	+
3	23072023	8360.M03828	PF00400	8.3e-08	D	+
3	23660057	8360.M03899	PF00646	4.3e-07	D	-
3	25634183	8360.M04205	PF07172	1.2e-04	D	+
3	25639489	8360.M04206	PF05678	3.7e-10	S	-
3	26196617	8360.M04285	PF00588	3.8e-17	S	+
3	31420988	8360.M05165	PF05678	4.7e-10	S	+
3	31967365	8360.M05268	PF00400	8.4e-04	D	+
3	32585047	8360.M05374	PF00533	9.0e-06	S	+
3	33288739	8360.M05510	PF02953	1.4e-08	D	-
3	33559171	8360.M05572	PF00400	6.5e-04	D	+
3	33559171	8360.M05572	PF00400	1.2e-04	D	+
3	33559171	8360.M05572	PF00400	3.3e-09	D	+
4	19737485	8352.M03168	PF05678	5.4e-10	S	+
4	19753107	8352.M03171	PF00400	4.0e-08	D	-
4	19753107	8352.M03171	PF00400	6.3e-08	D	-
4	19753107	8352.M03171	PF00400	1.8e-09	D	-
4	20442008	8352.M03275	PF00646	5.8e-13	S	+
4	23229542	8352.M03739	PF04055	5.1e-13	S	-
4	25466909	8352.M04125	PF00400	4.2e-09	D	+
4	25466909	8352.M04125	PF00400	1.5e-10	D	+
4	25466909	8352.M04125	PF00400	5.5e-08	D	+
4	25903251	8352.M04203	PF00515	7.6e-06	D	+
4	25903251	8352.M04203	PF00515	3.1e-06	D	+
4	25903251	8352.M04203	PF00515	5.2e-07	D	+
4	25903251	8352.M04203	PF00515	3.8e-05	D	+
4	25903251	8352.M04203	PF00515	2.8e-08	D	+
4	25903251	8352.M04203	PF00515	6.4e-06	D	+
4	26794324	8352.M04347	PF00400	1.5e-09	D	-
4	28447582	8352.M04590	PF00646	3.6e-04	S	-
4	29255602	8352.M04729	PF00400	1.6e-05	D	+
4	29255602	8352.M04729	PF00400	3.1e-10	D	+
4	29255602	8352.M04729	PF00400	3.3e-05	D	+
4	30248130	8352.M04880	PF00515	4.8e-05	S	-
4	30474909	8352.M04910	PF00646	9.7e-10	S	-
4	30474909	8352.M04910	PF00400	9.7e-04	S	-
4	30474909	8352.M04910	PF00400	4.4e-09	S	-
4	30990805	8352.M04994	PF00856	1.6e-05	S	-
4	33394617	8352.M05405	PF00515	8.2e-06	S	-
5	2307221	8353.M00397	PF00588	1.5e-12	S	-
5	5880584	8353.M00917	PF05498	2.6e-24	D	-
5	6390087	8353.M00995	PF05678	1.9e-08	S	-
5	16173718	8353.M02565	PF03242	7.5e-08	S	-
5	16236809	8353.M02577	PF05347	1.3e-06	S	-
5	16802481	8353.M02671	PF00646	5.3e-06	S	+
5	20266289	8353.M03209	PF00646	6.0e-07	D	-
5	22864963	8353.M03658	PF00856	4.1e-49	D	-
5	23974952	8353.M03845	PF00646	8.4e-04	D	+
5	24037837	8353.M03854	PF04055	8.4e-14	D	+
5	24449463	8353.M03926	PF05678	9.9e-12	D	+
5	26101226	8353.M04236	PF00400	2.1e-10	D	-
5	26101226	8353.M04236	PF00400	5.5e-11	D	-
5	26101226	8353.M04236	PF00400	3.8e-11	D	-
5	26101226	8353.M04236	PF00400	4.5e-08	D	-
5	26101226	8353.M04236	PF00400	1.5e-06	D	-
5	26101226	8353.M04236	PF00400	4.0e-05	D	-
5	27875418	8353.M04559	PF00856	7.1e-04	S	+
5	27882080	8353.M04560	PF00515	7.7e-08	D	-
6	3275234	8354.M00599	PF00646	6.6e-05	S	-
6	5888893	8354.M04817	PF00515	1.5e-07	D	-
6	6120765	8354.M01067	PF00646	3.5e-04	D	-
6	7179956	8354.M01225	PF00400	5.0e-04	D	-
6	7179956	8354.M01225	PF00400	1.4e-07	D	-
6	7179956	8354.M01225	PF00400	4.6e-05	D	-
6	7179956	8354.M01225	PF00400	1.9e-04	D	-
6	10957466	8354.M01812	PF00400	1.5e-05	D	+
6	10957466	8354.M01812	PF00400	2.2e-06	D	+
6	12018311	8354.M01983	PF07172	5.1e-10	S	+
6	12020710	8354.M01984	PF05754	2.6e-06	S	-
6	12025969	8354.M01985	PF07172	1.8e-13	S	+
6	12036453	8354.M01987	PF07172	3.5e-12	S	+
6	12856700	8354.M02114	PF00400	1.2e-08	S	-
6	18802686	8354.M03076	PF05678	4.5e-08	S	+
6	22352825	8354.M03638	PF00646	4.4e-04	D	+
6	22603626	8354.M03679	PF00400	3.7e-06	D	-
6	22603626	8354.M03679	PF00400	1.1e-09	D	-
6	22856516	8354.M03716	PF05678	2.3e-07	S	-
6	23847648	8354.M03850	PF05678	8.0e-10	S	-
6	24026531	8354.M03880	PF07172	1.5e-04	S	-
6	24035368	8354.M03881	PF00515	3.1e-06	S	-
6	24035368	8354.M03881	PF00515	4.7e-05	S	-
6	24035368	8354.M03881	PF00515	6.6e-06	S	-
6	24035368	8354.M03881	PF00515	3.9e-04	S	-
6	25252276	8354.M04072	PF00400	4.3e-04	S	+
6	25252276	8354.M04072	PF00400	1.7e-12	S	+
6	25828139	8354.M04153	PF00646	2.1e-04	S	-
6	26553133	8354.M04260	PF05678	8.9e-10	D	+
6	27167860	8354.M04352	PF00400	9.2e-04	D	-
6	27167860	8354.M04352	PF00400	2.4e-07	D	-
7	756904	8355.M00132	PF00515	2.4e-04	S	-
7	1230416	8355.M04771	PF00400	3.2e-07	S	-
7	1235585	8355.M00220	PF00400	1.7e-04	S	-
7	1235585	8355.M00220	PF00400	3.2e-06	S	-
7	3643273	8355.M00645	PF00646	5.7e-04	S	+
7	4390065	8355.M00769	PF02037	4.5e-13	S	+
7	8044045	8355.M01339	PF00400	1.8e-10	D	-
7	8044045	8355.M01339	PF00400	3.5e-04	D	-
7	8044045	8355.M01339	PF00400	3.7e-06	D	-
7	24085245	8355.M03866	PF00588	8.9e-24	S	+
7	24189900	8355.M03890	PF00400	2.7e-06	S	-
7	24189900	8355.M03890	PF00400	9.2e-08	S	-
7	24355537	8355.M03917	PF00400	3.5e-05	S	+
7	25161425	8355.M04058	PF00646	1.3e-08	D	+
7	25520407	8355.M04112	PF05678	5.0e-12	S	-
7	25608777	8355.M04130	PF02037	6.4e-11	D	+
7	26310931	8355.M04264	PF05347	2.4e-16	S	+
7	27428950	8355.M04447	PF00849	3.1e-07	S	-
7	27760242	8355.M04503	PF00646	6.9e-06	D	+
7	28756795	8355.M04664	PF05678	1.0e-11	S	+
7	28792677	8355.M04672	PF05678	5.7e-11	S	-
7	28925155	8355.M04694	PF00515	2.9e-04	D	+
7	28932547	8355.M04695	PF00533	5.2e-06	D	-
7	28932547	8355.M04695	PF00533	5.2e-07	D	-
7	28932547	8355.M04695	PF00533	1.6e-06	D	-
8	162560	8356.M00026	PF05678	1.7e-11	S	+
8	4683442	8356.M00743	PF00856	5.4e-07	S	+
8	19147986	8356.M03060	PF00533	4.3e-11	S	+
8	21375692	8356.M03376	PF03242	1.8e-12	S	+
8	23631398	8356.M03727	PF00400	7.7e-08	S	+
8	23631398	8356.M03727	PF00400	1.0e-10	S	+
8	23631398	8356.M03727	PF00400	4.9e-07	S	+
8	23631398	8356.M03727	PF00400	2.5e-05	S	+
8	23934952	8356.M03780	PF00515	6.4e-08	S	+
8	23934952	8356.M03780	PF00515	1.4e-06	S	+
8	24311866	8356.M03838	PF00588	3.0e-19	S	-
8	24517737	8356.M03866	PF01585	1.4e-04	S	+
8	26292313	8356.M04164	PF04055	1.2e-23	S	+
8	26959971	8356.M04291	PF00400	3.2e-05	S	+
9	6100394	8357.M00975	PF00400	2.7e-08	S	+
9	6100394	8357.M00975	PF00400	7.1e-08	S	+
9	6440078	8357.M03388	PF05754	2.5e-14	S	+
9	10462022	8357.M01643	PF00646	1.3e-04	S	-
9	10572056	8357.M01662	PF00400	2.1e-05	S	-
9	10572056	8357.M01662	PF00400	1.6e-09	S	-
9	16908152	8357.M02646	PF07172	5.0e-04	S	+
9	17591433	8357.M02754	PF00646	4.7e-08	S	-
