ModelFeatName	Chromosome	MidPoint	Strand
8350.m05142	1	31525437	-
8350.m05143	1	31531149	+
8350.m05144	1	31536188	+
8350.m05145	1	31547411	+
8350.m05146	1	31549760	-
8350.m05147	1	31551664	+
8350.m05148	1	31567425	+
8350.m01940	1	11857121	-
8350.m05149	1	31581068	+
8350.m01941	1	11863158	-
8350.m01942	1	11866236	-
8350.m01943	1	11868121	+
8350.m01944	1	11870312	-
8350.m01945	1	11875717	-
8350.m01946	1	11881834	+
8350.m01947	1	11889467	+
8350.m01948	1	11892612	+
8350.m01949	1	11896149	+
8350.m05150	1	31585236	+
8350.m05151	1	31594098	+
8350.m05152	1	31597960	-
8350.m05153	1	31601211	-
8350.m05154	1	31613310	-
8350.m05156	1	31622993	-
8350.m05157	1	31625795	-
8350.m05158	1	31631514	-
8350.m01950	1	11900273	+
8350.m05159	1	31636110	-
8350.m01951	1	11909700	-
8350.m01952	1	11914378	-
8350.m01953	1	11922374	-
8350.m01954	1	11933286	-
8350.m01955	1	11946147	-
8350.m01956	1	11953333	+
8350.m01957	1	11958809	+
8350.m01958	1	11969654	-
8350.m01959	1	11978721	+
8350.m04500	1	27798333	+
8350.m04501	1	27804169	-
8350.m04502	1	27812905	-
8350.m04503	1	27815196	-
8350.m05160	1	31647133	-
8350.m04504	1	27819150	-
8350.m05161	1	31658900	-
8350.m04505	1	27825215	+
8350.m05162	1	31675588	-
8350.m04506	1	27830567	-
8350.m05163	1	31677326	+
8350.m04507	1	27836066	-
8350.m05164	1	31693044	+
8350.m04508	1	27842744	+
8350.m05165	1	31702358	-
8350.m04509	1	27849476	-
8350.m05166	1	31705745	+
8350.m05167	1	31711309	+
8350.m05168	1	31713747	-
8350.m01960	1	11989467	+
8350.m05169	1	31724275	-
8350.m01961	1	11993846	-
8350.m01962	1	11996100	+
8350.m01963	1	12013675	+
8350.m01964	1	12021830	+
8350.m01965	1	12029695	+
8350.m01966	1	12034635	+
8350.m01967	1	12041448	+
8350.m01968	1	12048048	+
8350.m04510	1	27859357	-
8350.m04511	1	27866750	+
8350.m04512	1	27870263	-
8350.m04513	1	27873713	-
8350.m05170	1	31731573	-
8350.m04514	1	27881696	-
8350.m05171	1	31735296	-
8350.m04515	1	27896636	+
8350.m05172	1	31744187	-
8350.m04516	1	27905558	-
8350.m05173	1	31749128	-
8350.m04517	1	27913280	+
8350.m05174	1	31756396	+
8350.m04518	1	27924677	+
8350.m05175	1	31762120	+
8350.m04519	1	27948788	+
8350.m05176	1	31767163	+
8350.m05177	1	31772640	+
8350.m05178	1	31778629	-
8350.m01970	1	12052702	-
8350.m05179	1	31786101	-
8350.m01971	1	12076878	+
8350.m01972	1	12079524	-
8350.m01973	1	12085146	-
8350.m01974	1	12089795	+
8350.m01975	1	12097662	+
8350.m01976	1	12107063	+
8350.m01977	1	12109867	-
8350.m01978	1	12119842	-
8350.m01979	1	12124986	-
8350.m04520	1	27954741	-
8350.m04521	1	27962137	+
8350.m04522	1	27963716	-
8350.m04523	1	27966200	+
8350.m05180	1	31793007	-
8350.m04524	1	27976469	+
8350.m05181	1	31797024	-
8350.m04525	1	27983065	+
8350.m05182	1	31800310	+
8350.m04526	1	27994961	+
8350.m05183	1	31804324	-
8350.m04527	1	28004264	+
8350.m05184	1	31814496	+
8350.m04528	1	28012900	-
8350.m05185	1	31818843	-
8350.m04529	1	28017989	+
8350.m05186	1	31824238	-
8350.m05187	1	31835292	-
8350.m05188	1	31838585	+
8350.m01980	1	12126938	-
8350.m05189	1	31842572	+
8350.m01981	1	12131420	+
8350.m01982	1	12135664	+
8350.m01983	1	12143544	+
8350.m01984	1	12146665	-
8350.m01985	1	12152580	+
8350.m01986	1	12154872	+
8350.m01987	1	12163094	-
8350.m01988	1	12170227	-
8350.m01989	1	12175574	+
8350.m04530	1	28021863	-
8350.m04531	1	28025241	+
8350.m04532	1	28027003	+
8350.m04533	1	28030064	-
8350.m05190	1	31845513	-
8350.m04534	1	28035649	+
8350.m05191	1	31852595	-
8350.m04535	1	28043698	-
8350.m05192	1	31856418	-
8350.m05193	1	31859709	-
8350.m04537	1	28064669	+
8350.m05194	1	31862583	+
8350.m04538	1	28069996	+
8350.m05195	1	31866312	-
8350.m04539	1	28074718	+
