PubLocus	Chromosome	Class	MidPoint	Strand	Pseudo	Curated	GeneLen	ProLength	CDSLen	Iso	Exon	CDS	GS5	GS3
At5g02950	5	annotated_genes	691898	+	0	0	2221	0	0	0	1	1	690788 	693008 	
At5g02960	5	annotated_genes	693791	-	0	0	1385	0	0	0	4	4	694483 	693099 	
At5g52920	5	annotated_genes	21482406	+	0	0	3275	0	0	0	12	12	21480769 	21484043 	
At5g52930	5	annotated_genes	21488135	+	0	0	1080	0	0	0	1	1	21487596 	21488675 	
At5g52940	5	annotated_genes	21490071	+	0	0	1089	0	0	0	1	1	21489527 	21490615 	
At5g52950	5	annotated_genes	21492639	-	0	0	3053	0	0	0	3	3	21494165 	21491113 	
At5g52960	5	annotated_genes	21495017	+	0	0	1291	0	0	0	2	2	21494372 	21495662 	
At5g52965	5	annotated_genes	21496248	+	0	0	363	0	0	0	1	1	21496067 	21496429 	
At5g52970	5	annotated_genes	21497643	+	0	0	1618	0	0	0	6	6	21496835 	21498452 	
At5g26790	5	annotated_genes	9423354	+	0	0	520	0	0	0	1	1	9423095 	9423614 	
At5g26800	5	annotated_genes	9425823	+	0	0	1194	0	0	0	3	3	9425227 	9426420 	
At5g26805	5	annotated_genes	9427808	+	0	0	525	0	0	0	1	1	9427546 	9428070 	
At5g26810	5	annotated_genes	9431963	+	0	0	2018	0	0	0	5	5	9430955 	9432972 	
At5g32595	5	annotated_genes	12254456	-	1	0	1760	0	0	0	1	1	12255336 	12253577 	
At5g26820	5	annotated_genes	9435362	+	0	0	3482	0	0	0	12	12	9433622 	9437103 	
At5g32594	5	annotated_genes	12256548	+	1	0	2322	0	0	0	1	1	12255388 	12257709 	
At5g26830	5	annotated_genes	9439541	+	0	0	4483	0	0	0	20	20	9437300 	9441782 	
At5g32596	5	annotated_genes	12260759	-	1	0	1886	0	0	0	1	1	12261702 	12259817 	
At5g26840	5	annotated_genes	9442449	-	0	0	318	0	0	0	2	2	9442608 	9442291 	
At5g26850	5	annotated_genes	9448132	+	0	0	5380	0	0	0	16	15	9445443 	9450822 	
At5g02970	5	annotated_genes	696307	+	0	0	2656	0	0	0	7	6	694980 	697635 	
At5g32598	5	annotated_genes	12264440	+	1	0	4410	0	0	0	1	1	12262236 	12266645 	
At5g26860	5	annotated_genes	9453977	+	0	0	5791	0	0	0	19	19	9451082 	9456872 	
At5g02980	5	annotated_genes	698494	+	0	0	1008	0	0	0	1	1	697991 	698998 	
At5g26870	5	annotated_genes	9457365	-	0	0	608	0	0	0	1	1	9457669 	9457062 	
At5g32600	5	annotated_genes	12267901	-	0	0	1945	0	0	0	6	6	12268873 	12266929 	
At5g02990	5	annotated_genes	701397	+	0	0	2462	0	0	0	3	3	700167 	702628 	
At5g32605	5	annotated_genes	12273041	-	0	0	1689	0	0	0	7	7	12273885 	12272197 	
At5g03000	5	annotated_genes	703850	+	0	0	1170	0	0	0	2	2	703266 	704435 	
At5g32610	5	annotated_genes	12275116	-	0	0	2420	0	0	0	6	6	12276326 	12273907 	
At5g03010	5	annotated_genes	705059	+	0	0	756	0	0	0	1	1	704682 	705437 	
At5g03020	5	annotated_genes	707824	+	0	0	1140	0	0	0	1	1	707255 	708394 	
At5g52975	5	annotated_genes	21498972	+	0	0	579	0	0	0	1	1	21498683 	21499261 	
At5g52980	5	annotated_genes	21500137	-	0	0	1504	0	0	0	4	4	21500889 	21499386 	
At5g52990	5	annotated_genes	21501831	+	0	0	1356	0	0	0	1	1	21501154 	21502509 	
At5g53000	5	annotated_genes	21503990	-	0	0	2455	0	0	0	9	9	21505217 	21502763 	
At5g53010	5	annotated_genes	21509739	-	0	0	8048	0	0	0	33	32	21513763 	21505716 	
At5g53020	5	annotated_genes	21518376	+	0	0	2503	0	0	0	3	3	21517125 	21519627 	
At5g26880	5	annotated_genes	9458466	-	0	0	1534	0	0	0	6	6	9459233 	9457700 	
At5g53030	5	annotated_genes	21523073	+	0	0	1547	0	0	1	1	1	21522300 	21523846 	
At5g26890	5	annotated_genes	9460593	+	0	0	252	0	0	0	1	1	9460468 	9460719 	
At5g26900	5	annotated_genes	9464422	+	0	0	1335	0	0	0	1	1	9463755 	9465089 	
At5g26910	5	annotated_genes	9467772	-	0	0	3509	0	0	0	6	6	9469526 	9466018 	
At5g32613	5	annotated_genes	12281378	+	0	0	1787	0	0	0	6	6	12280485 	12282271 	
At5g26920	5	annotated_genes	9477696	+	0	0	2056	0	0	0	4	4	9476669 	9478724 	
At5g32616	5	annotated_genes	12283875	+	1	0	2658	0	0	0	1	1	12282547 	12285204 	
At5g26930	5	annotated_genes	9479834	+	0	0	732	0	0	0	2	2	9479469 	9480200 	
At5g32620	5	annotated_genes	12287445	+	0	0	933	0	0	0	2	2	12286979 	12287911 	
At5g26940	5	annotated_genes	9481757	+	0	0	2176	0	0	3	4	3	9480597 	9482772 	
At5g32621	5	annotated_genes	12289774	+	0	0	2369	0	0	0	3	3	12288590 	12290958 	
At5g26950	5	annotated_genes	9483688	-	0	0	870	0	0	0	1	1	9484123 	9483254 	
At5g32623	5	annotated_genes	12300335	-	1	0	1734	0	0	0	1	1	12301202 	12299469 	
At5g26960	5	annotated_genes	9485464	-	0	0	1376	0	0	0	1	1	9486152 	9484777 	
At5g03030	5	annotated_genes	709021	-	0	0	1361	0	0	0	3	3	709701 	708341 	
At5g32625	5	annotated_genes	12302701	-	1	0	1386	0	0	0	1	1	12303394 	12302009 	
At5g26970	5	annotated_genes	9487226	-	0	0	327	0	0	0	1	1	9487389 	9487063 	
At5g03040	5	annotated_genes	711443	-	0	0	2688	0	0	0	6	5	712787 	710100 	
At5g32627	5	annotated_genes	12305034	-	1	0	1848	0	0	0	1	1	12305958 	12304111 	
At5g03050	5	annotated_genes	715674	-	0	0	1293	0	0	0	5	4	716320 	715028 	
At5g32622	5	annotated_genes	12307482	+	1	0	1818	0	0	0	1	1	12306574 	12308391 	
At5g03060	5	annotated_genes	717199	-	0	0	957	0	0	0	2	2	717677 	716721 	
At5g32624	5	annotated_genes	12310486	+	1	0	1587	0	0	0	1	1	12309693 	12311279 	
At5g03070	5	annotated_genes	719872	-	0	0	3333	0	0	0	10	10	721538 	718206 	
At5g32626	5	annotated_genes	12315442	-	1	0	1737	0	0	0	1	1	12316310 	12314574 	
At5g03080	5	annotated_genes	722632	+	0	0	1534	0	0	0	2	1	721866 	723399 	
At5g03090	5	annotated_genes	725620	+	0	0	682	0	0	0	2	2	725280 	725961 	
At5g03100	5	annotated_genes	727780	+	0	0	1917	0	0	0	3	2	726822 	728738 	
At5g03110	5	annotated_genes	730869	+	0	0	1157	0	0	0	1	1	730291 	731447 	
At5g53040	5	annotated_genes	21524683	-	0	0	982	0	0	0	3	3	21525174 	21524193 	
